date,samplingperiod
2015-07-01,1
2015-07-02,1
2015-07-03,1
2015-07-04,1
2015-07-05,1
2015-07-06,1
2015-07-07,1
2015-07-08,1
2015-07-09,1
2015-07-10,1
2015-07-11,1
2015-07-12,1
2015-07-13,1
2015-07-14,1
2015-07-15,1
2015-07-16,1
2015-07-17,1
2015-07-18,1
2015-07-19,1
2015-07-20,1
2015-07-21,1
2015-07-22,1
2015-07-23,1
2015-07-24,1
2015-07-25,1
2015-07-26,1
2015-07-27,1
2015-07-28,1
2015-07-29,1
2015-07-30,1
2015-07-31,2
2015-08-01,2
2015-08-02,2
2015-08-03,2
2015-08-04,2
2015-08-05,2
2015-08-06,2
2015-08-07,2
2015-08-08,2
2015-08-09,2
2015-08-10,2
2015-08-11,2
2015-08-12,2
2015-08-13,2
2015-08-14,2
2015-08-15,2
2015-08-16,2
2015-08-17,2
2015-08-18,2
2015-08-19,2
2015-08-20,2
2015-08-21,2
2015-08-22,2
2015-08-23,2
2015-08-24,2
2015-08-25,2
2015-08-26,2
2015-08-27,2
2015-08-28,2
2015-08-29,2
2015-08-30,3
2015-08-31,3
2015-09-01,3
2015-09-02,3
2015-09-03,3
2015-09-04,3
2015-09-05,3
2015-09-06,3
2015-09-07,3
2015-09-08,3
2015-09-09,3
2015-09-10,3
2015-09-11,3
2015-09-12,3
2015-09-13,3
2015-09-14,3
2015-09-15,3
2015-09-16,3
2015-09-17,3
2015-09-18,3
2015-09-19,3
2015-09-20,3
2015-09-21,3
2015-09-22,3
2015-09-23,3
2015-09-24,3
2015-09-25,3
2015-09-26,3
2015-09-27,3
2015-09-28,3
2015-09-29,4
2015-09-30,4
2015-10-01,4
2015-10-02,4
2015-10-03,4
2015-10-04,4
2015-10-05,4
2015-10-06,4
2015-10-07,4
2015-10-08,4
2015-10-09,4
2015-10-10,4
2015-10-11,4
2015-10-12,4
2015-10-13,4
2015-10-14,4
2015-10-15,4
2015-10-16,4
2015-10-17,4
2015-10-18,4
2015-10-19,4
2015-10-20,4
2015-10-21,4
2015-10-22,4
2015-10-23,4
2015-10-24,4
2015-10-25,4
2015-10-26,4
2015-10-27,4
2015-10-28,4
2015-10-29,5
2015-10-30,5
2015-10-31,5
2015-11-01,5
2015-11-02,5
2015-11-03,5
2015-11-04,5
2015-11-05,5
2015-11-06,5
2015-11-07,5
2015-11-08,5
2015-11-09,5
2015-11-10,5
2015-11-11,5
2015-11-12,5
2015-11-13,5
2015-11-14,5
2015-11-15,5
2015-11-16,5
2015-11-17,5
2015-11-18,5
