locationID,location,latitude,longitude,altitude,on_off_trail,habitat,partition
270,BM 10.40 E 40,-1.209358,110.108778,39,OFF,Alluvial Bench,AB1
9,BM 14.35,-1.20752,110.10863,53,ON,Alluvial Bench,AB1
10,DS 11.40,-1.207039,110.108244,45,ON,Alluvial Bench,AB1
11,DS 12,-1.20697,110.10837,45,ON,Alluvial Bench,AB1
192,BM 8.21,-1.21025,110.10792,48,ON,Alluvial Bench,AB1
212,BM 10.40,-1.2094,110.10841,27,ON,Alluvial Bench,AB1
176,ST 18 E 20,-1.22182,110.10114,42,OFF,Alluvial Bench,AB2
247,SP 24 W 44,-1.22447,110.102659,18,OFF,Alluvial Bench,AB2
291,SK 10.35 W 51,-1.222175,110.104026,55,OFF,Alluvial Bench,AB2
301,SK 5 E 60,-1.220292,110.104103,46,OFF,Alluvial Bench,AB2
306,SK 2.13 W 137,-1.219266,110.101839,52,OFF,Alluvial Bench,AB2
315,RB 4.40 S 50,-1.213986,110.104114,40,OFF,Alluvial Bench,AB2
337,SP 24 W 55,-1.22447,110.10254,18,OFF,Alluvial Bench,AB2
127,DT 8.46,-1.2281,110.10597,59,ON,Alluvial Bench,AB2
128,MT 2,-1.21856,110.10485,46,ON,Alluvial Bench,AB2
135,SK 10.35,-1.22219,110.10448,55,ON,Alluvial Bench,AB2
147,SK 2.13,-1.21929,110.10307,57,ON,Alluvial Bench,AB2
148,MT 1.40,-1.21851,110.10475,41,ON,Alluvial Bench,AB2
169,ST 18,-1.22182,110.10114,42,ON,Alluvial Bench,AB2
184,DT 1.42,-1.22505,110.10629,40,ON,Alluvial Bench,AB2
189,FK 1.45,-1.21474,110.10391,62,ON,Alluvial Bench,AB2
215,BS 0.15,-1.23198,110.10516,43,ON,Alluvial Bench,AB2
218,SP 24,-1.22446,110.10305,18,ON,Alluvial Bench,AB2
232,RB 4.40,-1.21353,110.10411,28,ON,Alluvial Bench,AB2
251,DT 5.05,-1.226361,110.105594,48,ON,Alluvial Bench,AB2
294,MB 1.45,-1.223049,110.105041,43,ON,Alluvial Bench,AB2
250,BM 0.30 W 20,-1.213016,110.106294,30,OFF,Freshwater Swamp,FS1
253,BS 8.45 S 55,-1.232417,110.10147,46,OFF,Freshwater Swamp,FS1
264,TR 9 N 52,-1.217715,110.099927,29,OFF,Freshwater Swamp,FS1
272,BR 12 N 50,-1.236125,110.098313,30,OFF,Freshwater Swamp,FS1
293,RS 30.40 E 25,-1.226754,110.09842,42,OFF,Freshwater Swamp,FS1
296,RB 9 N 62,-1.213252,110.102158,42,OFF,Freshwater Swamp,FS1
302,RS 38.38 W 50,-1.229369,110.096796,62,OFF,Freshwater Swamp,FS1
311,AG 6.40 E 65,-1.239603,110.095561,41,OFF,Freshwater Swamp,FS1
319,RB 0 N 55,-1.213043,110.106003,38,OFF,Freshwater Swamp,FS1
332,ST 35 W 25,-1.22945,110.09951,22,OFF,Freshwater Swamp,FS1
335,ST 5 E 50,-1.21596,110.10176,44,OFF,Freshwater Swamp,FS1
339,SZ 15.25 W 55,-1.22081,110.09866,45,OFF,Freshwater Swamp,FS1
343,RS 5 w 55,-1.21612,110.09686,14,OFF,Freshwater Swamp,FS1
132,ST 5,-1.21596,110.10131,48,ON,Freshwater Swamp,FS1
133,RB 9,-1.21382,110.10215,43,ON,Freshwater Swamp,FS1
136,MB 17.16,-1.22302,110.10008,45,ON,Freshwater Swamp,FS1
137,SZ 15.25,-1.22079,110.09916,49,ON,Freshwater Swamp,FS1
160,DG 2.15,-1.21263,110.10065,43,ON,Freshwater Swamp,FS1
161,GB 8.30,-1.21013,110.10319,33,ON,Freshwater Swamp,FS1
179,RS 22.3,-1.22369,110.09772,25,ON,Freshwater Swamp,FS1
