"","locationID","CT.days"
"1",154,906
"2",166,677
"3",172,660
"4",144,651
"5",170,644
"6",155,609
"7",142,597
"8",11,577
"9",237,573
"10",139,547
"11",222,538
"12",140,520
"13",175,510
"14",151,489
"15",194,481
"16",143,480
"17",130,467
"18",168,460
"19",127,457
"20",162,454
"21",158,451
"22",132,437
"23",138,434
"24",227,428
"25",196,427
"26",224,426
"27",190,423
"28",219,419
"29",137,413
"30",147,408
"31",226,392
"32",187,388
"33",131,385
"34",165,385
"35",203,382
"36",243,382
"37",163,381
"38",182,381
"39",234,380
"40",135,377
"41",133,375
"42",193,373
"43",274,372
"44",146,370
"45",188,370
"46",220,368
"47",164,367
"48",198,365
"49",199,365
"50",205,361
"51",149,358
"52",156,355
"53",215,349
"54",230,349
"55",223,345
"56",192,342
"57",141,341
"58",184,341
"59",233,339
"60",148,338
"61",191,336
"62",173,334
"63",207,334
"64",197,332
"65",232,331
"66",9,328
"67",210,328
"68",150,311
"69",174,307
"70",221,303
"71",13,296
"72",136,291
"73",208,288
"74",249,288
"75",181,284
"76",202,281
"77",302,278
"78",167,277
"79",12,276
"80",153,261
"81",204,260
"82",317,260
"83",235,259
"84",209,258
"85",161,250
"86",212,249
"87",225,249
"88",309,249
"89",179,240
"90",201,240
"91",195,239
"92",157,238
"93",214,238
"94",189,234
"95",218,229
"96",211,227
"97",152,226
"98",238,223
"99",200,222
"100",206,222
"101",324,211
"102",236,209
"103",305,202
"104",297,198
"105",159,194
"106",286,189
"107",255,188
"108",347,187
"109",171,180
"110",303,179
"111",319,175
"112",160,169
"113",176,166
"114",229,165
"115",338,164
"116",296,160
"117",334,159
"118",301,156
"119",180,155
"120",318,154
"121",315,152
"122",328,150
"123",337,150
"124",231,149
"125",314,145
"126",293,140
"127",251,139
"128",351,138
"129",213,135
"130",311,132
"131",268,130
"132",339,130
"133",288,129
"134",323,128
"135",304,126
"136",291,125
"137",272,118
"138",183,117
"139",278,116
"140",325,115
"141",294,113
"142",269,106
"143",333,104
"144",290,100
"145",329,100
"146",248,92
"147",263,92
"148",254,91
"149",250,89
"150",264,89
"151",247,87
"152",252,87
"153",312,86
"154",300,83
"155",277,78
"156",228,74
"157",306,67
"158",270,66
"159",295,66
"160",253,58
"161",307,58
"162",308,58
"163",341,56
"164",326,50
"165",340,47
"166",352,45
"167",332,42
"168",321,40
"169",335,40
"170",275,37
"171",145,35
"172",343,33
"173",128,32
"174",10,31
"175",276,25
"176",342,25
"177",349,23
