Family,Genus,Species,Species (on mammal trait data),ActivityCycle,ActivityCycle_Ref,AdultBodyMass_g,AdultBodyMass_g_Ref,Terrestriality,Terrestriality_Ref,TrophicLevel,TrophicLevel_Ref,Diet,Diet_Ref
Viverridae,Viverra,Viverra tangalunga,Viverra tangalunga,1,Pantheria,7349.99,Pantheria,1,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Sciuridae,Sciuridae,Unid Squirrel,Unid Squirrel,,,,,,,,,,
Muridae,,Unid Rat,Unid Rat,1,Own observations,146.5,Phillipps & Phillipps 2016 (mean of all listed species with ranges in GP),,,2,Phillipps & Phillipps 2016,,
Viverridae,Viverridae,Unid civet,Unid civet,,,,,,,,,,
Unid bats,Unid bats,Unid bats,Unid bats,,,,,,,,,,
Tupaiidae,Tupaia,Tupaia tana,Tupaia tana,3,Pantheria,182.33,Pantheria,Mainly terrestrial?,Payne et al. 1994,2,Pantheria,O,Di Marco & Santini 2015
Tupaiidae,Tupaia,Tupaia splendidula,Tupaia splendidula,3,Pantheria,168.05,Pantheria,NA,Pantheria & Payne,2,Pantheria,O,Di Marco & Santini 2015
Tupaiidae,Tupaia,Tupaia sp.,Tupaia sp.,3,Inferred,NA,Pantheria,NA,Pantheria,2,Inferred,O,Inferred
Tupaiidae,Tupaia,Tupaia montana,Tupaia montana,3,Pantheria,168.05,Pantheria,1,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Tupaiidae,Tupaia,Tupaia longipes (glis),Tupaia longipes,3,Pantheria,168.05,Pantheria,2,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Tupaiidae,Tupaia,Tupaia gracilis,Tupaia gracilis,3,Pantheria,111.95,Pantheria,2,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Tupaiidae,Tupaia,Tupaia dorsalis,Tupaia dorsalis,3,Pantheria,168.05,Pantheria,Mainly terrestrial?,Payne et al. 1994,2,Pantheria,NA,Di Marco & Santini 2015
Hystricidae,Trichys,Trichys fasciculata,Trichys fasciculata,1,Pantheria,1750,Pantheria,2,Pantheria,1,Payne et al. 1994,H,Di Marco & Santini 2015
Tragulidae,Tragulus,Tragulus spp.,Tragulus spp.,1,Inferred,NA,Pantheria,1,Inferred,1,Inferred,H,Inferred
Tragulidae,Tragulus,Tragulus napu,Tragulus napu,1,Pantheria,5273.67,Pantheria,1,Payne et al. 1994,1,Pantheria,H,Di Marco & Santini 2015
Tragulidae,Tragulus,Tragulus javanicus,Tragulus javanicus,1,Pantheria,1889.93,Pantheria,1,Payne et al. 1994,1,Pantheria,H,Di Marco & Santini 2015
Tarsiidae,Tarsius,Tarsius bancanus,Tarsius bancanus,1,Pantheria,114.39,Pantheria,2,Pantheria,2,Pantheria,C,Di Marco & Santini 2015
Suidae,Sus,Sus barbatus,Sus barbatus,2,Pantheria,135805.95,Pantheria,1,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Sciuridae,Sundasciurus,Sundasciurus lowii,Sundasciurus lowii,3,Pantheria,84.99,Pantheria,2,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Sciuridae,Sundasciurus,Sundasciurus jentinki,Sundasciurus jentinki,3,Payne et al. 1994,NA,Pantheria,2,Payne et al. 1994,3,Phillipps & Phillipps 2016,H,Di Marco & Santini 2015
Sciuridae,Sundasciurus,Sundasciurus hippurus,Sundasciurus hippurus,3,Phillipps & Phillipps 2016,357.79,Pantheria,2,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Soricidae,Soricidae,Soricidae,Soricidae,,,,,,,,,,
Sciuridae,Rhinosciurus,Rhinosciurus laticaudatus,Rhinosciurus laticaudatus,3,Payne et al. 1994,230.3,Pantheria,1,Payne et al. 1994,2,Pantheria,C,Di Marco & Santini 2015
Sciuridae,Rheithrosciurus,Rheithrosciurus macrotis,Rheithrosciurus macrotis,3,Payne et al. 1994,1353.27,Pantheria,1,Pantheria,1,Payne et al. 1994,H,Di Marco & Santini 2015
Sciuridae,Ratufa,Ratufa affinis,Ratufa affinis,3,Phillipps & Phillipps 2016,1155.82,Pantheria,2,Pantheria,2,Pantheria,H,Di Marco & Santini 2015
Prionodontidae,Prionodon,Prionodon linsang,Prionodon linsang,1,Pantheria,684.83,Pantheria,1,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Felidae,Felis,Felis planiceps,Prionailurus planiceps,1,Pantheria,3533.76,Pantheria,1,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Felidae,Prionailurus,Prionailurus bengalensis,Prionailurus bengalensis,1,Pantheria,2780.97,Pantheria,1,Pantheria,3,Pantheria,C,Di Marco & Santini 2015
Cercopithecidae,Presbytis,Presbytis rubicunda rubida,Presbytis rubicunda,3,Pantheria,6348.53,Pantheria,2,Payne et al. 1994,1,Pantheria,H,Di Marco & Santini 2015
Pongidae,Pongo,Pongo pygmaeus,Pongo pygmaeus,3,Pantheria,53408.29,Pantheria,2,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
Felidae,Pardofelis,Pardofelis marmorata,Pardofelis marmorata,1,Pantheria,2826.68,Pantheria,1,Pantheria,3,Pantheria,C,Di Marco & Santini 2015
Viverridae,Paradoxurus,Paradoxurus hermaphroditus,Paradoxurus hermaphroditus,1,Pantheria,3200,Pantheria,1,Pantheria,2,Pantheria,O,Di Marco & Santini 2015
