"","locationID","Latitude","Longitude","n.all.ind","Confused Squirrel or Treeshrew","Felis planiceps","Hemigalus derbyanus","Hystrix brachyura","Lariscus insignis","Macaca nemestrina","Martes flavigula","Muntiacus muntjak","Muntiacus spp.","Paradoxurus hermaphroditus","Pardofelis marmorata","Presbytis rubicunda rubida","Rheithrosciurus macrotis","Sus barbatus","Tragulus javanicus","Tragulus napu","Trichys fasciculata","Tupaia longipes (glis)","Tupaia sp.","Tupaia splendidula","Unid Rat","Unid Squirrel","Unid bats","Unid civet","Viverra tangalunga","Herpestes sp.","Catopuma badia","Muntiacus atherodes","Pongo pygmaeus","Tarsius bancanus","Tupaia dorsalis","Tupaia gracilis","Tupaia tana","Callosciurus nonatus","Dremomys everetti","Manis javanica","Mustela nudipes","Paguma larvata","Prionodon linsang","Sundasciurus lowii","Neofelis nebulosa","Prionailurus bengalensis","Arctogalidia trivirgata","Cynogale bennettii","Macaca fascicularis","Ratufa affinis","Arctictis binturong","Helarctos malayanus","Sundasciurus hippurus","Tragulus spp.","Exilisciurus exilis","Soricidae","Tupaia montana","Sundasciurus jentinki","Echinosorex gymnurus","Canis familiaris","Rhinosciurus laticaudatus","Aonyx cinerea","Hemigalus hosei"
"1",9,-1.20752,110.10863,164,1,1,3,7,3,31,1,3,1,2,1,2,4,39,18,2,7,1,2,1,10,2,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",10,-1.20704,110.10824,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",11,-1.20697,110.10837,348,5,0,5,9,13,51,0,7,1,7,0,0,9,83,39,2,13,1,2,1,46,1,1,3,28,1,1,5,4,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",12,-1.21033,110.128,108,0,0,3,0,0,6,1,2,1,0,1,1,0,9,0,0,2,1,3,0,31,0,1,0,12,9,0,7,0,0,1,0,0,1,2,5,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",13,-1.21087,110.12574,68,0,0,0,0,0,6,0,1,0,0,1,0,0,42,0,0,0,1,0,0,0,0,0,0,8,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",127,-1.2281,110.10597,246,0,0,0,11,0,14,0,33,1,0,0,0,1,126,4,7,2,0,0,0,10,0,0,1,17,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",130,-1.21712,110.10572,484,0,0,27,10,1,12,3,12,2,5,0,1,2,277,3,23,4,1,2,0,5,0,5,3,48,6,0,8,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",131,-1.21815,110.1082,223,0,0,19,7,3,9,0,16,0,4,0,0,5,30,0,9,19,0,0,0,53,0,4,1,14,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"9",132,-1.21596,110.10131,169,0,0,3,2,20,32,0,0,0,3,0,0,0,21,29,0,5,1,0,0,7,6,0,0,16,3,0,0,4,0,0,0,2,1,0,0,1,0,1,0,2,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"10",133,-1.21382,110.10215,102,0,0,16,1,1,20,0,0,0,0,0,0,2,6,29,0,18,0,0,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
