Project.ID,Deployment.Location.ID,Deployment.ID,Treatment.Strata,Latitude,Longitude,Camera.Deployment.Begin.Date,Camera.Deployment.End.Date,Bait.Type,Feature.Type,Quiet.Period.Setting,Camera.Failure.Details,Camera.Make,Height,Angle,Utm.Code,Utm.Northing,Utm.Easting,Location.trail,Camera,# days active,Location,notes
OFP,9,17,Alluvial Bench,-1.20752,110.10863,2015-06-18,2016-02-04,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,42,Parallel,,,,,kkl003,231,BM 14.35,
OFP,9,363,Alluvial Bench,-1.20752,110.10863,2018-05-03,2018-08-08,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,45,Parallel,,,,,kkl074,97,BM 14.35,
OFP,10,18,Alluvial Bench,-1.20704,110.10824,2016-02-04,2016-03-06,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,42,Parallel,,,,,kkl003,31,DS 11.40,
OFP,11,19,Alluvial Bench,-1.20697,110.10837,2016-03-06,2016-03-29,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,40,Parallel,,,,,kkl003,23,DS 12,
OFP,11,20,Alluvial Bench,-1.20697,110.10837,2016-04-16,2016-05-04,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,40,Parallel,,,,,kkl017,18,DS 12,
OFP,11,21,Alluvial Bench,-1.20697,110.10837,2016-05-05,2016-10-07,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,43,Parallel,,,,,kkl035,155,DS 12,
OFP,11,385,Alluvial Bench,-1.20697,110.10837,2018-12-19,2019-03-04,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,42,Parallel,,,,,kkl074,140,DS 12,
OFP,11,438,Alluvial Bench,-1.20697,110.10837,2019-03-05,2020-01-05,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,35,Parallel,,,,,kkl016,306,DS 12,
OFP,12,22,Upland Granite,-1.21033,110.128,2015-06-10,2016-02-02,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,35,Parallel,,,,,kkl008,237,GP 71.22,
OFP,12,537,Upland Granite,-1.21033,110.128,2020-06-16,2020-07-25,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,45,Parallel,,,,,OFP096,39,GP 71.22,
OFP,13,23,Upland Granite,-1.21087,110.12574,2016-02-02,2016-10-26,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,41,Parallel,,,,,kkl008,267,GP 66.01,
OFP,13,485,Upland Granite,-1.21087,110.12574,2020-03-10,2020-04-08,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,41,Parallel,,,,,kkl001,8,GP 66.01,
OFP,127,174,Alluvial Bench,-1.2281,110.10597,2015-06-23,2016-01-30,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,41,Parallel,,,,,kkl001,221,DT 8.46,
OFP,127,500,Alluvial Bench,-1.2281,110.10597,2020-02-25,2020-03-28,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,41,Parallel,,,,,OFP093,32,DT 8.46,
OFP,127,517,Alluvial Bench,-1.2281,110.10597,2020-03-29,2020-09-20,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,27,Parallel,,,,,OFP085,176,DT 8.46,"ajm (2021-11-04)- changed start date; the only hit on 2020-03-28 (overal day with location 500) was person setting up camera, so ajm set start day as 2020-03-28 to avoid overlap with location 500."
OFP,127,557,Alluvial Bench,-1.2281,110.10597,2018-07-14,2018-08-12,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,34,Parallel,,,,,kkl067,29,DT 8.46,
OFP,128,178,Alluvial Bench,-1.21856,110.10485,2015-06-18,2015-07-20,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,40,Parallel,,,,,kkl001,5,MT 2,
OFP,129,175,Kerangas,-1.22735,110.10488,2016-01-30,2016-06-12,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,41,Parallel,,,,,kkl001,183,DA 3.40,ajm (2021-11-04)- fixed end date
OFP,129,212,Kerangas,-1.22735,110.10488,2016-08-25,2016-10-04,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,41,Parallel,,,,,kkl039,70,DA 3.40,ajm (2021-11-04)- fixed start and end date
OFP,129,374,Kerangas,-1.22735,110.10488,2018-05-02,2018-09-01,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,42,Parallel,,,,,kkl050,122,DA 3.40,
OFP,130,183,Lowland Sandstone,-1.21712,110.10572,2015-06-18,2016-01-31,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,41,Parallel,,,,,kkl002,227,BC 2.19,
OFP,130,440,Lowland Sandstone,-1.21712,110.10572,2019-03-25,2019-08-06,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,41,Parallel,,,,,kkl052,134,BC 2.19,
OFP,130,542,Lowland Sandstone,-1.21712,110.10572,2020-06-14,2020-09-28,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,41,Parallel,,,,,OFP104,106,BC 2.19,
OFP,131,173,Lowland Sandstone,-1.21815,110.1082,2016-01-30,2016-10-07,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,52,Parallel,,,,,kkl002,251,BC 8.30,
OFP,131,375,Lowland Sandstone,-1.21815,110.1082,2018-06-03,2018-10-15,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,43,Parallel,,,,,kkl052,134,BC 8.30,
OFP,132,177,Freshwater Swamp,-1.21596,110.10131,2015-06-20,2016-01-31,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,40,Parallel,,,,,kkl004,225,ST 5,
OFP,132,442,Freshwater Swamp,-1.21596,110.10131,2019-03-25,2019-07-08,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,40,Parallel,,,,,kkl062,105,ST 5,
OFP,132,526,Freshwater Swamp,-1.21596,110.10131,2020-06-07,2020-09-22,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,40,Parallel,,,,,kkl067,107,ST 5,
OFP,133,176,Freshwater Swamp,-1.21382,110.10215,2016-01-31,2016-10-07,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,38,Parallel,,,,,kkl004,250,RB 9,
OFP,133,330,Freshwater Swamp,-1.21382,110.10215,2017-12-23,2018-03-23,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,41,Parallel,,,,,kkl045,90,RB 9,
OFP,133,513,Freshwater Swamp,-1.21382,110.10215,2020-05-02,2020-06-06,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,41,Parallel,,,,,kkl016,4,RB 9,
OFP,134,180,Kerangas,-1.22784,110.10319,2015-06-20,2016-01-30,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,40,Parallel,,,,,kkl005,224,SP 31.22,
OFP,134,431,Kerangas,-1.22784,110.10319,2019-03-10,2020-02-25,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,40,Parallel,,,,,kkl067,352,SP 31.22,
OFP,135,179,Alluvial Bench,-1.22219,110.10448,2016-01-30,2016-10-04,None,ON-TRAIL,10,,Bushnell Trophy Cam HD,40,Parallel,,,,,kkl005,248,SK 10.35,
