,samplingperiod,partishun,prop,z_pheno_mod
1,1,AB.I,0.043859649,0.039975505
2,1,AB.II,0.014084507,-0.543240961
3,1,FS.I,0.028708134,-0.256802696
4,1,LG.I,0.01650165,-0.495895505
5,1,LG.II,0.009493671,-0.633163328
6,1,LS.I,0.038277512,-0.069363832
7,1,LS.II,0.036764706,-0.098995711
8,1,PS.I,0.022446689,-0.379447879
9,1,UGM.I,0.02901354,-0.250820605
10,1,UGM.II,0.024253731,-0.34405269
11,2,AB.I,0.03539823,-0.125761366
12,2,AB.II,0.045996593,0.081832594
13,2,FS.I,0.05075188,0.174976116
14,2,LG.I,0.006097561,-0.699684159
15,2,LG.II,0.025390625,-0.321783943
16,2,LS.I,0.031026253,-0.211396862
17,2,LS.II,0.030172414,-0.228121318
18,2,PS.I,0.018830525,-0.450278987
19,2,UGM.I,0.029069767,-0.249719251
20,2,UGM.II,0.026119403,-0.307509106
21,3,AB.I,0.079646018,0.740936037
22,3,AB.II,0.034615385,-0.141095244
23,3,FS.I,0.05952381,0.346795075
24,3,LG.I,0.016359918,-0.49867166
25,3,LG.II,0.041269841,-0.010751997
26,3,LS.I,0.030651341,-0.218740398
27,3,LS.II,0.034557235,-0.142234233
28,3,PS.I,0.02584493,-0.312885299
29,3,UGM.I,0.007177033,-0.678540141
30,3,UGM.II,0.060810811,0.372004034
31,4,AB.I,0.032448378,-0.183541193
32,4,AB.II,0.035164835,-0.130332957
33,4,FS.I,0.068637804,0.52531417
34,4,LG.I,0.022403259,-0.380298567
35,4,LG.II,0.031372549,-0.204613836
36,4,LS.I,0.031026253,-0.211396862
37,4,LS.II,0.073593074,0.622374834
38,4,PS.I,0.061569017,0.386855291
39,4,UGM.I,0.030944625,-0.212995731
40,4,UGM.II,0.025839793,-0.312985922
41,5,AB.I,0.053097345,0.220917595
42,5,AB.II,0.049904031,0.158368992
43,5,FS.I,0.046357616,0.088904083
44,5,LG.I,0.039014374,-0.054930655
45,5,LG.II,0.056962025,0.296616482
46,5,LS.I,0.050119332,0.162586171
47,5,LS.II,0.041036717,-0.015318285
48,5,PS.I,0.076769691,0.684596385
49,5,UGM.I,0.062135922,0.397959472
50,5,UGM.II,0.026086957,-0.308144646
51,6,AB.I,0.10619469,1.260954479
52,6,AB.II,0.076775432,0.684708835
53,6,FS.I,0.072847682,0.607774582
54,6,LG.I,0.04742268,0.109765887
55,6,LG.II,0.061507937,0.385658887
56,6,LS.I,0.081145585,0.770308598
57,6,LS.II,0.103671706,1.21153588
58,6,PS.I,0.08358209,0.818033299
59,6,UGM.I,0.056420233,0.286004209
60,6,UGM.II,0.067669173,0.506341251
61,7,AB.I,0.126843658,1.665413268
62,7,AB.II,0.080614203,0.759900241
63,7,FS.I,0.067298578,0.499082278
64,7,LG.I,0.041237113,-0.011393049
65,7,LG.II,0.041401274,-0.008177579
66,7,LS.I,0.096153846,1.064280838
67,7,LS.II,0.076419214,0.677731467
68,7,PS.I,0.052894212,0.216938745
69,7,UGM.I,0.068226121,0.517250392
70,7,UGM.II,0.041198502,-0.012149347
71,8,AB.I,0.112759644,1.389544599
72,8,AB.II,0.101321586,1.165503224
73,8,FS.I,0.057710501,0.311277154
74,8,LG.I,0.055441478,0.266832981
75,8,LG.II,0.048543689,0.131723493
76,8,LS.I,0.054892601,0.256081929
77,8,LS.II,0.043956044,0.041863626
78,8,PS.I,0.066866267,0.490614452
79,8,UGM.I,0.053012048,0.219246853
80,8,UGM.II,0.043314501,0.029297491
81,9,AB.I,0.086309524,0.871456539
82,9,AB.II,0.085436893,0.854364008
83,9,FS.I,0.042694497,0.017153253
84,9,LG.I,0.026748971,-0.295177526
85,9,LG.II,0.024752475,-0.334283613
86,9,LS.I,0.038647343,-0.062119818
87,9,LS.II,0.023316062,-0.362419155
88,9,PS.I,0.020916335,-0.409423485
89,9,UGM.I,0.054580897,0.249976455
90,9,UGM.II,0.026315789,-0.303662413
91,10,AB.I,0.056886228,0.295131804
92,10,AB.II,0.048449612,0.129880775
93,10,FS.I,0.014655172,-0.532063132
94,10,LG.I,0.035196687,-0.129709057
95,10,LG.II,0.027093596,-0.288427234
96,10,LS.I,0.035971223,-0.114537947
97,10,LS.II,0.024122807,-0.346617152
98,10,PS.I,0.023092369,-0.366800705
99,10,UGM.I,0.034539474,-0.142582138
100,10,UGM.II,0.030360531,-0.224436593
101,11,AB.I,0.047619048,0.113612202
102,11,AB.II,0.027729636,-0.275968889
103,11,FS.I,0.018220793,-0.462222031
104,11,LG.I,0.022774327,-0.373030315
105,11,LG.II,0.017283951,-0.480572304
106,11,LS.I,0.016949153,-0.487130114
107,11,LS.II,0.027027027,-0.289731146
108,11,PS.I,0.025176234,-0.325983304
109,11,UGM.I,0.033268102,-0.16748496
110,11,UGM.II,0.043726236,0.037362289
111,12,AB.I,0.023419204,-0.360398884
112,12,AB.II,0.029469548,-0.241888602
